UI_Group,UI_Target,accuracy,precision,recall,macro_f1,Best_Params
Global_UI,font_style_pref,0.4222222222222222,0.30833333333333335,0.34745564892623715,0.3266051895815961,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Global_UI,font_size_pref,0.4,0.23524305555555555,0.2398989898989899,0.22496947496947498,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Global_UI,color_theme_pref,0.2,0.12698412698412698,0.15946969696969698,0.14104575163398692,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
Global_UI,accent_color_pref,0.6222222222222222,0.3048780487804878,0.19183673469387755,0.1902392797915186,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Global_UI,background_pref,0.35555555555555557,0.3068322981366459,0.307449494949495,0.30115862398471094,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Global_UI,whitespace_pref,0.7555555555555555,0.4761904761904761,0.41847041847041844,0.4177777777777778,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Global_UI,button_style_pref,0.4222222222222222,0.6117948717948718,0.46828609986504727,0.5106837606837608,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Global_UI,hero_banner_size,0.4888888888888889,0.21794871794871795,0.26875,0.22916666666666666,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Global_UI,recommendation_type,0.37777777777777777,0.184375,0.23409090909090907,0.2046296296296296,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Global_UI,social_proof_display,0.37777777777777777,0.17407407407407408,0.21098039215686276,0.18746081504702194,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Global_UI,urgency_pref,0.3111111111111111,0.19,0.23333333333333334,0.20777777777777778,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Global_UI,checkout_style,0.35555555555555557,0.16153846153846155,0.19411764705882353,0.17316017316017315,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Global_UI,form_field_style,0.1111111111111111,0.0616421568627451,0.07803030303030303,0.06623931623931624,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Global_UI,product_desc_length,0.26666666666666666,0.1852747678018576,0.21915584415584416,0.19884755877964705,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_grid_pref,0.4888888888888889,0.5972222222222222,0.46337662337662333,0.49498268142769425,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_info_density,0.7777777777777778,0.9224806201550387,0.4444444444444444,0.4799498746867168,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_image_text_ratio,0.5777777777777777,0.37777777777777777,0.40122044241037375,0.38327783943766186,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_whitespace,0.5555555555555556,0.3076923076923077,0.3256172839506173,0.292929292929293,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Desktop_UI,desktop_navigation,0.3333333333333333,0.3154411764705882,0.3277972027972028,0.31704260651629074,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_search_visibility,0.5777777777777777,0.6266339869281046,0.5411793372319688,0.5582010582010583,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Desktop_UI,desktop_category_display,0.35555555555555557,0.2869318181818182,0.28791866028708135,0.2772576260948354,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_product_card,0.28888888888888886,0.2536363636363636,0.25303030303030305,0.23269841269841268,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_price_display,0.2,0.13782805429864253,0.16666666666666666,0.14995502248875564,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_filter_location,0.5111111111111111,0.4976851851851852,0.4272486772486772,0.4240949334816669,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"
Desktop_UI,desktop_persistent_filters,0.7111111111111111,0.37209302325581395,0.47058823529411764,0.4155844155844156,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_quick_view,0.4666666666666667,0.2786458333333333,0.2780032467532467,0.2642914653784219,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Desktop_UI,desktop_review_display,0.4222222222222222,0.4594298245614035,0.3090277777777778,0.3045366795366795,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Mobile_UI,mobile_grid_pref,0.4,0.2115987460815047,0.2702020202020202,0.23725490196078433,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Mobile_UI,mobile_info_density,0.5777777777777777,0.2962962962962963,0.3247311827956989,0.3089814087457449,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Mobile_UI,mobile_image_text_ratio,0.8444444444444444,0.6136363636363636,0.3888888888888889,0.39976484420928865,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Mobile_UI,mobile_whitespace,0.8222222222222222,0.2740740740740741,0.3333333333333333,0.3008130081300813,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
Mobile_UI,mobile_navigation,0.4888888888888889,0.21458333333333335,0.2532608695652174,0.20512820512820512,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Mobile_UI,mobile_search_visibility,0.4444444444444444,0.431002331002331,0.42407407407407405,0.42424242424242425,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Mobile_UI,mobile_category_display,0.3333333333333333,0.2326086956521739,0.27058823529411763,0.2501571338780641,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Mobile_UI,mobile_product_card,0.4,0.17506631299734748,0.20833333333333331,0.18488628026412326,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
Mobile_UI,mobile_price_display,0.5333333333333333,0.2850877192982456,0.3209876543209877,0.2871794871794872,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Mobile_UI,mobile_filter_location,0.6222222222222222,0.45325203252032525,0.39194139194139194,0.3598673300165838,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Mobile_UI,mobile_quick_view,0.4888888888888889,0.30980392156862746,0.3452380952380952,0.31800766283524906,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Mobile_UI,mobile_review_display,0.5777777777777777,0.7129987129987129,0.4361111111111111,0.4459584131715279,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
