UI_Group,UI_Target,Predictor,Mean_ABS_SHAP,SHAP_Rank
Global_UI,font_style_pref,primary_device,0.03809923856570584,1
Global_UI,font_style_pref,Neuroticism,0.029862478419689545,2
Global_UI,font_style_pref,primary_persona,0.02822370535110387,3
Global_UI,font_style_pref,Openness,0.02783210413185772,4
Global_UI,font_style_pref,current_mood,0.02477820246387299,5
Global_UI,font_style_pref,Agreeableness,0.02346899644980449,6
Global_UI,font_style_pref,Conscientiousness,0.018056206161422103,7
Global_UI,font_style_pref,Extraversion,0.011426120548341556,8
Global_UI,font_size_pref,current_mood,0.027552435253338354,1
Global_UI,font_size_pref,Conscientiousness,0.02614886364854875,2
Global_UI,font_size_pref,Neuroticism,0.02493846045756679,3
Global_UI,font_size_pref,Openness,0.024657636693496042,4
Global_UI,font_size_pref,primary_device,0.023206151089628497,5
Global_UI,font_size_pref,primary_persona,0.01872546511130856,6
Global_UI,font_size_pref,Agreeableness,0.016481486671490176,7
Global_UI,font_size_pref,Extraversion,0.010184114062434198,8
Global_UI,color_theme_pref,Neuroticism,0.030114785265523376,1
Global_UI,color_theme_pref,Openness,0.023793759856885224,2
Global_UI,color_theme_pref,Extraversion,0.021966725841577647,3
Global_UI,color_theme_pref,primary_persona,0.02100621269373126,4
Global_UI,color_theme_pref,primary_device,0.01796748436583282,5
Global_UI,color_theme_pref,current_mood,0.01723538430882434,6
Global_UI,color_theme_pref,Agreeableness,0.015135084353374854,7
Global_UI,color_theme_pref,Conscientiousness,0.01081352773931926,8
Global_UI,accent_color_pref,Neuroticism,0.020524786934619937,1
Global_UI,accent_color_pref,primary_persona,0.020523897326905367,2
Global_UI,accent_color_pref,Agreeableness,0.019846370496376633,3
Global_UI,accent_color_pref,Conscientiousness,0.017732975338940256,4
Global_UI,accent_color_pref,Openness,0.013693515293992875,5
Global_UI,accent_color_pref,primary_device,0.012621564124581748,6
Global_UI,accent_color_pref,Extraversion,0.011930607142466207,7
Global_UI,accent_color_pref,current_mood,0.009252724827581034,8
Global_UI,background_pref,Agreeableness,0.03562855577852648,1
Global_UI,background_pref,Neuroticism,0.029511020278235947,2
Global_UI,background_pref,Extraversion,0.02563708471063694,3
Global_UI,background_pref,Openness,0.02485814475021752,4
Global_UI,background_pref,current_mood,0.023407186977417144,5
Global_UI,background_pref,primary_persona,0.020867243785754122,6
Global_UI,background_pref,primary_device,0.017727312020627387,7
Global_UI,background_pref,Conscientiousness,0.009257857531702482,8
Global_UI,whitespace_pref,current_mood,0.0382447927828469,1
Global_UI,whitespace_pref,Neuroticism,0.032268408699934914,2
Global_UI,whitespace_pref,Extraversion,0.030527514153526947,3
Global_UI,whitespace_pref,Agreeableness,0.026995514049534455,4
Global_UI,whitespace_pref,Conscientiousness,0.02138438892556659,5
Global_UI,whitespace_pref,primary_device,0.020644896952442204,6
Global_UI,whitespace_pref,primary_persona,0.01949594772039145,7
Global_UI,whitespace_pref,Openness,0.003969506059886799,8
Global_UI,button_style_pref,Agreeableness,0.022936221007418812,1
Global_UI,button_style_pref,Extraversion,0.022927149124590925,2
