Predictor,Importance
Neuroticism,0.15552208907128723
Conscientiousness,0.1404667031911174
Openness,0.13703184349415184
Agreeableness,0.1366752411923378
primary_persona,0.13333774884890445
Extraversion,0.13160668542398898
current_mood,0.13022856784376827
primary_device,0.03513112093444412
