UI_Group,UI_Target,Predictor,Importance,Rank
Global_UI,font_style_pref,Neuroticism,0.15430254719629802,1
Global_UI,font_style_pref,Openness,0.1528519035445194,2
Global_UI,font_style_pref,Extraversion,0.14039428197545564,3
Global_UI,font_style_pref,Conscientiousness,0.13978447134769278,4
Global_UI,font_style_pref,Agreeableness,0.1286252384640951,5
Global_UI,font_style_pref,current_mood,0.12846049774434554,6
Global_UI,font_style_pref,primary_persona,0.12229662702264456,7
Global_UI,font_style_pref,primary_device,0.03328443270494898,8
Global_UI,font_size_pref,Neuroticism,0.15637659439257096,1
Global_UI,font_size_pref,Agreeableness,0.14398676319504933,2
Global_UI,font_size_pref,Extraversion,0.14140278243618978,3
Global_UI,font_size_pref,primary_persona,0.1371781355884573,4
Global_UI,font_size_pref,Openness,0.13399742847589985,5
Global_UI,font_size_pref,Conscientiousness,0.13341871763102497,6
Global_UI,font_size_pref,current_mood,0.11965014091493707,7
Global_UI,font_size_pref,primary_device,0.03398943736587071,8
Global_UI,color_theme_pref,Neuroticism,0.14751521531356399,1
Global_UI,color_theme_pref,primary_persona,0.14519025635766972,2
Global_UI,color_theme_pref,Conscientiousness,0.1419160104202251,3
Global_UI,color_theme_pref,Agreeableness,0.13823078776722114,4
Global_UI,color_theme_pref,current_mood,0.13443388881797616,5
Global_UI,color_theme_pref,Openness,0.12882270052185446,6
Global_UI,color_theme_pref,Extraversion,0.12334436761601315,7
Global_UI,color_theme_pref,primary_device,0.040546773185476226,8
Global_UI,accent_color_pref,Agreeableness,0.1456517975149239,1
Global_UI,accent_color_pref,Neuroticism,0.14233770621085798,2
Global_UI,accent_color_pref,current_mood,0.14194123010644005,3
Global_UI,accent_color_pref,Conscientiousness,0.13909301837834578,4
Global_UI,accent_color_pref,primary_persona,0.13779054104382044,5
Global_UI,accent_color_pref,Extraversion,0.13067962679711687,6
Global_UI,accent_color_pref,Openness,0.1228270206019691,7
Global_UI,accent_color_pref,primary_device,0.039679059346525915,8
Global_UI,background_pref,Neuroticism,0.16447231329585318,1
Global_UI,background_pref,primary_persona,0.1426364455374047,2
Global_UI,background_pref,Conscientiousness,0.13488595271999335,3
Global_UI,background_pref,current_mood,0.1326098340965588,4
Global_UI,background_pref,Extraversion,0.12996609164298842,5
Global_UI,background_pref,Agreeableness,0.12898531365519397,6
Global_UI,background_pref,Openness,0.1288525876530247,7
Global_UI,background_pref,primary_device,0.037591461398982944,8
Global_UI,whitespace_pref,Conscientiousness,0.15823556163420485,1
Global_UI,whitespace_pref,Neuroticism,0.14994637447086964,2
Global_UI,whitespace_pref,Openness,0.13764636225119575,3
Global_UI,whitespace_pref,Extraversion,0.1366350112350373,4
Global_UI,whitespace_pref,Agreeableness,0.13646631276277704,5
Global_UI,whitespace_pref,current_mood,0.128607544577936,6
Global_UI,whitespace_pref,primary_persona,0.1284436812795852,7
Global_UI,whitespace_pref,primary_device,0.0240191517883942,8
Global_UI,button_style_pref,Neuroticism,0.15196604664359603,1
Global_UI,button_style_pref,Openness,0.142690005352972,2
Global_UI,button_style_pref,Conscientiousness,0.1397099325973546,3
Global_UI,button_style_pref,primary_persona,0.13600146581285008,4
Global_UI,button_style_pref,Extraversion,0.13187300593181597,5
Global_UI,button_style_pref,current_mood,0.13083216930739236,6
Global_UI,button_style_pref,Agreeableness,0.13041576501417187,7
Global_UI,button_style_pref,primary_device,0.03651160933984708,8
Global_UI,hero_banner_size,Neuroticism,0.16535234982512878,1
Global_UI,hero_banner_size,Openness,0.14653619425596148,2
Global_UI,hero_banner_size,Extraversion,0.14431785942278286,3
Global_UI,hero_banner_size,Conscientiousness,0.12985873225173641,4
Global_UI,hero_banner_size,primary_persona,0.1294649911294196,5
Global_UI,hero_banner_size,current_mood,0.12708914673012642,6
Global_UI,hero_banner_size,Agreeableness,0.1265563871228574,7
Global_UI,hero_banner_size,primary_device,0.030824339261987178,8
Global_UI,recommendation_type,Neuroticism,0.15590577783294063,1
Global_UI,recommendation_type,Conscientiousness,0.14545311370918257,2
Global_UI,recommendation_type,primary_persona,0.14066550590165472,3
Global_UI,recommendation_type,Openness,0.13297485579861718,4
Global_UI,recommendation_type,Agreeableness,0.13274277767902676,5
Global_UI,recommendation_type,Extraversion,0.1303346588555906,6
Global_UI,recommendation_type,current_mood,0.1269161101279769,7
Global_UI,recommendation_type,primary_device,0.03500720009501071,8
Global_UI,social_proof_display,Neuroticism,0.15105851195332798,1
Global_UI,social_proof_display,primary_persona,0.14662152813072188,2
Global_UI,social_proof_display,Conscientiousness,0.1447971415890213,3
Global_UI,social_proof_display,Openness,0.13906508318134053,4
Global_UI,social_proof_display,Extraversion,0.1274185224007021,5
Global_UI,social_proof_display,current_mood,0.12644787424607995,6
Global_UI,social_proof_display,Agreeableness,0.12264054608614146,7
Global_UI,social_proof_display,primary_device,0.041950792412664785,8
Global_UI,urgency_pref,Neuroticism,0.1452802570235586,1
Global_UI,urgency_pref,Openness,0.14140377243135865,2
Global_UI,urgency_pref,Extraversion,0.13637084083502,3
Global_UI,urgency_pref,primary_persona,0.13610043239938724,4
Global_UI,urgency_pref,current_mood,0.1358016022569452,5
Global_UI,urgency_pref,Conscientiousness,0.13369606695778344,6
Global_UI,urgency_pref,Agreeableness,0.1330443273179017,7
Global_UI,urgency_pref,primary_device,0.03830270077804536,8
Global_UI,checkout_style,Neuroticism,0.16457007491078973,1
Global_UI,checkout_style,Conscientiousness,0.1485477537956983,2
Global_UI,checkout_style,Agreeableness,0.14429789594351752,3
Global_UI,checkout_style,Openness,0.13278892293236275,4
Global_UI,checkout_style,primary_persona,0.12662788349660226,5
Global_UI,checkout_style,current_mood,0.12545273972814355,6
Global_UI,checkout_style,Extraversion,0.12070950027170925,7
Global_UI,checkout_style,primary_device,0.03700522892117672,8
Global_UI,form_field_style,primary_persona,0.149965430738608,1
Global_UI,form_field_style,Neuroticism,0.14072284139736171,2
Global_UI,form_field_style,Agreeableness,0.13682193433348638,3
Global_UI,form_field_style,Conscientiousness,0.13529044238171495,4
Global_UI,form_field_style,Extraversion,0.13327935892866602,5
Global_UI,form_field_style,current_mood,0.13227830904182014,6
Global_UI,form_field_style,Openness,0.1297544573980479,7
Global_UI,form_field_style,primary_device,0.04188722578029498,8
Global_UI,product_desc_length,Neuroticism,0.14884433274610256,1
Global_UI,product_desc_length,Agreeableness,0.14691514064455188,2
Global_UI,product_desc_length,Openness,0.14276017164245944,3
Global_UI,product_desc_length,Conscientiousness,0.1423385683316135,4
Global_UI,product_desc_length,Extraversion,0.13747665500334433,5
Global_UI,product_desc_length,current_mood,0.12757025336084907,6
Global_UI,product_desc_length,primary_persona,0.12291673534461223,7
Global_UI,product_desc_length,primary_device,0.03117814292646691,8
Desktop_UI,desktop_grid_pref,Conscientiousness,0.15128932935872638,1
Desktop_UI,desktop_grid_pref,Neuroticism,0.14506715815130425,2
Desktop_UI,desktop_grid_pref,Agreeableness,0.1403905318574988,3
Desktop_UI,desktop_grid_pref,Extraversion,0.1396039118053769,4
Desktop_UI,desktop_grid_pref,primary_persona,0.13139955596083194,5
Desktop_UI,desktop_grid_pref,Openness,0.1305120804206972,6
Desktop_UI,desktop_grid_pref,current_mood,0.12857431152303522,7
Desktop_UI,desktop_grid_pref,primary_device,0.033163120922529314,8
Desktop_UI,desktop_info_density,Neuroticism,0.15865607313821506,1
Desktop_UI,desktop_info_density,Openness,0.14311041666313284,2
Desktop_UI,desktop_info_density,primary_persona,0.14016473977599694,3
Desktop_UI,desktop_info_density,Extraversion,0.13778060965790512,4
Desktop_UI,desktop_info_density,Conscientiousness,0.13419925970466368,5
Desktop_UI,desktop_info_density,current_mood,0.12890971277887686,6
Desktop_UI,desktop_info_density,Agreeableness,0.11981210944619944,7
Desktop_UI,desktop_info_density,primary_device,0.03736707883501005,8
Desktop_UI,desktop_image_text_ratio,Conscientiousness,0.14989912597338326,1
Desktop_UI,desktop_image_text_ratio,Neuroticism,0.14865971992383714,2
Desktop_UI,desktop_image_text_ratio,Agreeableness,0.14595306328650687,3
Desktop_UI,desktop_image_text_ratio,current_mood,0.14276674761117972,4
Desktop_UI,desktop_image_text_ratio,primary_persona,0.12883299309499224,5
Desktop_UI,desktop_image_text_ratio,Extraversion,0.12546681963272105,6
Desktop_UI,desktop_image_text_ratio,Openness,0.1254164343351368,7
Desktop_UI,desktop_image_text_ratio,primary_device,0.03300509614224292,8
Desktop_UI,desktop_whitespace,Neuroticism,0.15944055568800392,1
Desktop_UI,desktop_whitespace,Openness,0.15092765920818177,2
Desktop_UI,desktop_whitespace,Agreeableness,0.13955632317793393,3
Desktop_UI,desktop_whitespace,Extraversion,0.13733521878447516,4
Desktop_UI,desktop_whitespace,Conscientiousness,0.12908148608349387,5
Desktop_UI,desktop_whitespace,current_mood,0.12448028911447626,6
Desktop_UI,desktop_whitespace,primary_persona,0.12390754963154857,7
Desktop_UI,desktop_whitespace,primary_device,0.035270918311886466,8
Desktop_UI,desktop_navigation,Neuroticism,0.15388928871081686,1
Desktop_UI,desktop_navigation,Openness,0.14774284564667972,2
Desktop_UI,desktop_navigation,Agreeableness,0.1401575929763592,3
Desktop_UI,desktop_navigation,Conscientiousness,0.13484359485985867,4
Desktop_UI,desktop_navigation,primary_persona,0.13332805577160523,5
Desktop_UI,desktop_navigation,current_mood,0.1303859441961586,6
Desktop_UI,desktop_navigation,Extraversion,0.11984367484779819,7
Desktop_UI,desktop_navigation,primary_device,0.039809002990723534,8
Desktop_UI,desktop_search_visibility,Neuroticism,0.15546173192926946,1
Desktop_UI,desktop_search_visibility,Agreeableness,0.14949074322180622,2
Desktop_UI,desktop_search_visibility,Extraversion,0.14327005514178487,3
Desktop_UI,desktop_search_visibility,Conscientiousness,0.14138816156987796,4
Desktop_UI,desktop_search_visibility,current_mood,0.13466122124799051,5
Desktop_UI,desktop_search_visibility,Openness,0.12511736064330728,6
Desktop_UI,desktop_search_visibility,primary_persona,0.11598350941866482,7
Desktop_UI,desktop_search_visibility,primary_device,0.034627216827298773,8
Desktop_UI,desktop_category_display,Neuroticism,0.16212658977388777,1
Desktop_UI,desktop_category_display,Conscientiousness,0.1395953532130492,2
Desktop_UI,desktop_category_display,Agreeableness,0.13756010254090123,3
Desktop_UI,desktop_category_display,Openness,0.13473702333562432,4
Desktop_UI,desktop_category_display,current_mood,0.13111293933162194,5
Desktop_UI,desktop_category_display,Extraversion,0.12923337750298794,6
Desktop_UI,desktop_category_display,primary_persona,0.12817486927079325,7
Desktop_UI,desktop_category_display,primary_device,0.037459745031134424,8
Desktop_UI,desktop_product_card,Neuroticism,0.15609663672226098,1
Desktop_UI,desktop_product_card,Openness,0.14160589438902224,2
Desktop_UI,desktop_product_card,Conscientiousness,0.13471775699253066,3
Desktop_UI,desktop_product_card,primary_persona,0.13400457378232664,4
Desktop_UI,desktop_product_card,Agreeableness,0.13362063559993495,5
Desktop_UI,desktop_product_card,Extraversion,0.12958297053304627,6
Desktop_UI,desktop_product_card,current_mood,0.12876629437709658,7
Desktop_UI,desktop_product_card,primary_device,0.041605237603781854,8
Desktop_UI,desktop_price_display,Neuroticism,0.15001255943869501,1
Desktop_UI,desktop_price_display,primary_persona,0.14931124853094643,2
Desktop_UI,desktop_price_display,Extraversion,0.13941430378890707,3
Desktop_UI,desktop_price_display,Openness,0.13733577455973997,4
Desktop_UI,desktop_price_display,current_mood,0.13308526251396346,5
Desktop_UI,desktop_price_display,Conscientiousness,0.12673884234759764,6
Desktop_UI,desktop_price_display,Agreeableness,0.12567880374516474,7
Desktop_UI,desktop_price_display,primary_device,0.038423205074985714,8
Desktop_UI,desktop_filter_location,Agreeableness,0.1515395151341888,1
